is_braess,label,baseline_Kc,new_Kc,delta,braess_tol,edge_u,edge_v,n,graph_type,timestamp,code_version,seed_root,seed_child,run_id,graph_params_json,K_start,K_min,K_step,onset_eps,onset_minrun,add_weight,omega_json,edges_json,pos_json
False,unknown_kc,,2.050000000000063,,0.001,0,13,15,rgn,2025-11-17T13:29:18.096018,2025-10-10_single_edge_only_v3,3317468713749495843,3756401152650013246,run_3756401152650013246,"{""n"": 15, ""radius"": 21.313795063443255, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",5.0,0.4,0.01,0.05,3,1.0,"[1.1058349846608617, 0.6129744647455353, -0.02447879165592061, 2.332136942554879, -0.08327331246628022, 1.433549800375711, -0.5862930541865905, 0.3949186363539954, 1.4534496597643203, 1.4295839645167554, -0.4649163113090321, -0.20242063040274913, -0.9877098224447163, 0.6520579377020917, 0.135695790046485]","[[0, 1, 1.0], [0, 5, 1.0], [1, 4, 1.0], [1, 7, 1.0], [2, 11, 1.0], [3, 9, 1.0], [3, 12, 1.0], [4, 14, 1.0], [5, 6, 1.0], [5, 13, 1.0], [6, 8, 1.0], [6, 10, 1.0], [6, 13, 1.0], [7, 11, 1.0], [8, 13, 1.0], [9, 10, 1.0]]","{""0"": [31.387275128151902, 59.27192374856725], ""1"": [51.0743797863624, 75.50497553659561], ""2"": [90.50578276402796, 97.11837077600661], ""3"": [82.22084626348449, 1.671580333546585], ""4"": [30.86707634190401, 91.89316038543697], ""5"": [33.32637373471965, 36.87465673591534], ""6"": [37.045050176020354, 18.22756674065278], ""7"": [70.98720660708028, 76.41984097841122], ""8"": [15.933020211321603, 20.366566145189147], ""9"": [63.789848218625714, 4.714347656762319], ""10"": [44.73088198035025, 17.386425374008496], ""11"": [93.2429150628526, 73.81778470796971], ""12"": [97.18878623073961, 23.67647803378946], ""13"": [26.48025807240748, 30.9744153894316], ""14"": [2.4818685027171994, 99.41273864053792]}"
False,unknown_kc,,1.4700000000000635,,0.001,0,14,15,rgn,2025-11-17T13:29:18.096018,2025-10-10_single_edge_only_v3,3317468713749495843,3756401152650013246,run_3756401152650013246,"{""n"": 15, ""radius"": 21.313795063443255, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",5.0,0.4,0.01,0.05,3,1.0,"[1.1058349846608617, 0.6129744647455353, -0.02447879165592061, 2.332136942554879, -0.08327331246628022, 1.433549800375711, -0.5862930541865905, 0.3949186363539954, 1.4534496597643203, 1.4295839645167554, -0.4649163113090321, -0.20242063040274913, -0.9877098224447163, 0.6520579377020917, 0.135695790046485]","[[0, 1, 1.0], [0, 5, 1.0], [1, 4, 1.0], [1, 7, 1.0], [2, 11, 1.0], [3, 9, 1.0], [3, 12, 1.0], [4, 14, 1.0], [5, 6, 1.0], [5, 13, 1.0], [6, 8, 1.0], [6, 10, 1.0], [6, 13, 1.0], [7, 11, 1.0], [8, 13, 1.0], [9, 10, 1.0]]","{""0"": [31.387275128151902, 59.27192374856725], ""1"": [51.0743797863624, 75.50497553659561], ""2"": [90.50578276402796, 97.11837077600661], ""3"": [82.22084626348449, 1.671580333546585], ""4"": [30.86707634190401, 91.89316038543697], ""5"": [33.32637373471965, 36.87465673591534], ""6"": [37.045050176020354, 18.22756674065278], ""7"": [70.98720660708028, 76.41984097841122], ""8"": [15.933020211321603, 20.366566145189147], ""9"": [63.789848218625714, 4.714347656762319], ""10"": [44.73088198035025, 17.386425374008496], ""11"": [93.2429150628526, 73.81778470796971], ""12"": [97.18878623073961, 23.67647803378946], ""13"": [26.48025807240748, 30.9744153894316], ""14"": [2.4818685027171994, 99.41273864053792]}"
False,unknown_kc,,2.050000000000063,,0.001,1,2,15,rgn,2025-11-17T13:29:18.096018,2025-10-10_single_edge_only_v3,3317468713749495843,3756401152650013246,run_3756401152650013246,"{""n"": 15, ""radius"": 21.313795063443255, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",5.0,0.4,0.01,0.05,3,1.0,"[1.1058349846608617, 0.6129744647455353, -0.02447879165592061, 2.332136942554879, -0.08327331246628022, 1.433549800375711, -0.5862930541865905, 0.3949186363539954, 1.4534496597643203, 1.4295839645167554, -0.4649163113090321, -0.20242063040274913, -0.9877098224447163, 0.6520579377020917, 0.135695790046485]","[[0, 1, 1.0], [0, 5, 1.0], [1, 4, 1.0], [1, 7, 1.0], [2, 11, 1.0], [3, 9, 1.0], [3, 12, 1.0], [4, 14, 1.0], [5, 6, 1.0], [5, 13, 1.0], [6, 8, 1.0], [6, 10, 1.0], [6, 13, 1.0], [7, 11, 1.0], [8, 13, 1.0], [9, 10, 1.0]]","{""0"": [31.387275128151902, 59.27192374856725], ""1"": [51.0743797863624, 75.50497553659561], ""2"": [90.50578276402796, 97.11837077600661], ""3"": [82.22084626348449, 1.671580333546585], ""4"": [30.86707634190401, 91.89316038543697], ""5"": [33.32637373471965, 36.87465673591534], ""6"": [37.045050176020354, 18.22756674065278], ""7"": [70.98720660708028, 76.41984097841122], ""8"": [15.933020211321603, 20.366566145189147], ""9"": [63.789848218625714, 4.714347656762319], ""10"": [44.73088198035025, 17.386425374008496], ""11"": [93.2429150628526, 73.81778470796971], ""12"": [97.18878623073961, 23.67647803378946], ""13"": [26.48025807240748, 30.9744153894316], ""14"": [2.4818685027171994, 99.41273864053792]}"
False,unknown_kc,,1.4700000000000635,,0.001,1,3,15,rgn,2025-11-17T13:29:18.096018,2025-10-10_single_edge_only_v3,3317468713749495843,3756401152650013246,run_3756401152650013246,"{""n"": 15, ""radius"": 21.313795063443255, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",5.0,0.4,0.01,0.05,3,1.0,"[1.1058349846608617, 0.6129744647455353, -0.02447879165592061, 2.332136942554879, -0.08327331246628022, 1.433549800375711, -0.5862930541865905, 0.3949186363539954, 1.4534496597643203, 1.4295839645167554, -0.4649163113090321, -0.20242063040274913, -0.9877098224447163, 0.6520579377020917, 0.135695790046485]","[[0, 1, 1.0], [0, 5, 1.0], [1, 4, 1.0], [1, 7, 1.0], [2, 11, 1.0], [3, 9, 1.0], [3, 12, 1.0], [4, 14, 1.0], [5, 6, 1.0], [5, 13, 1.0], [6, 8, 1.0], [6, 10, 1.0], [6, 13, 1.0], [7, 11, 1.0], [8, 13, 1.0], [9, 10, 1.0]]","{""0"": [31.387275128151902, 59.27192374856725], ""1"": [51.0743797863624, 75.50497553659561], ""2"": [90.50578276402796, 97.11837077600661], ""3"": [82.22084626348449, 1.671580333546585], ""4"": [30.86707634190401, 91.89316038543697], ""5"": [33.32637373471965, 36.87465673591534], ""6"": [37.045050176020354, 18.22756674065278], ""7"": [70.98720660708028, 76.41984097841122], ""8"": [15.933020211321603, 20.366566145189147], ""9"": [63.789848218625714, 4.714347656762319], ""10"": [44.73088198035025, 17.386425374008496], ""11"": [93.2429150628526, 73.81778470796971], ""12"": [97.18878623073961, 23.67647803378946], ""13"": [26.48025807240748, 30.9744153894316], ""14"": [2.4818685027171994, 99.41273864053792]}"
False,unknown_kc,,1.4700000000000635,,0.001,1,5,15,rgn,2025-11-17T13:29:18.096018,2025-10-10_single_edge_only_v3,3317468713749495843,3756401152650013246,run_3756401152650013246,"{""n"": 15, ""radius"": 21.313795063443255, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",5.0,0.4,0.01,0.05,3,1.0,"[1.1058349846608617, 0.6129744647455353, -0.02447879165592061, 2.332136942554879, -0.08327331246628022, 1.433549800375711, -0.5862930541865905, 0.3949186363539954, 1.4534496597643203, 1.4295839645167554, -0.4649163113090321, -0.20242063040274913, -0.9877098224447163, 0.6520579377020917, 0.135695790046485]","[[0, 1, 1.0], [0, 5, 1.0], [1, 4, 1.0], [1, 7, 1.0], [2, 11, 1.0], [3, 9, 1.0], [3, 12, 1.0], [4, 14, 1.0], [5, 6, 1.0], [5, 13, 1.0], [6, 8, 1.0], [6, 10, 1.0], [6, 13, 1.0], [7, 11, 1.0], [8, 13, 1.0], [9, 10, 1.0]]","{""0"": [31.387275128151902, 59.27192374856725], ""1"": [51.0743797863624, 75.50497553659561], ""2"": [90.50578276402796, 97.11837077600661], ""3"": [82.22084626348449, 1.671580333546585], ""4"": [30.86707634190401, 91.89316038543697], ""5"": [33.32637373471965, 36.87465673591534], ""6"": [37.045050176020354, 18.22756674065278], ""7"": [70.98720660708028, 76.41984097841122], ""8"": [15.933020211321603, 20.366566145189147], ""9"": [63.789848218625714, 4.714347656762319], ""10"": [44.73088198035025, 17.386425374008496], ""11"": [93.2429150628526, 73.81778470796971], ""12"": [97.18878623073961, 23.67647803378946], ""13"": [26.48025807240748, 30.9744153894316], ""14"": [2.4818685027171994, 99.41273864053792]}"
False,unknown_kc,,1.4700000000000635,,0.001,1,6,15,rgn,2025-11-17T13:29:18.096018,2025-10-10_single_edge_only_v3,3317468713749495843,3756401152650013246,run_3756401152650013246,"{""n"": 15, ""radius"": 21.313795063443255, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",5.0,0.4,0.01,0.05,3,1.0,"[1.1058349846608617, 0.6129744647455353, -0.02447879165592061, 2.332136942554879, -0.08327331246628022, 1.433549800375711, -0.5862930541865905, 0.3949186363539954, 1.4534496597643203, 1.4295839645167554, -0.4649163113090321, -0.20242063040274913, -0.9877098224447163, 0.6520579377020917, 0.135695790046485]","[[0, 1, 1.0], [0, 5, 1.0], [1, 4, 1.0], [1, 7, 1.0], [2, 11, 1.0], [3, 9, 1.0], [3, 12, 1.0], [4, 14, 1.0], [5, 6, 1.0], [5, 13, 1.0], [6, 8, 1.0], [6, 10, 1.0], [6, 13, 1.0], [7, 11, 1.0], [8, 13, 1.0], [9, 10, 1.0]]","{""0"": [31.387275128151902, 59.27192374856725], ""1"": [51.0743797863624, 75.50497553659561], ""2"": [90.50578276402796, 97.11837077600661], ""3"": [82.22084626348449, 1.671580333546585], ""4"": [30.86707634190401, 91.89316038543697], ""5"": [33.32637373471965, 36.87465673591534], ""6"": [37.045050176020354, 18.22756674065278], ""7"": [70.98720660708028, 76.41984097841122], ""8"": [15.933020211321603, 20.366566145189147], ""9"": [63.789848218625714, 4.714347656762319], ""10"": [44.73088198035025, 17.386425374008496], ""11"": [93.2429150628526, 73.81778470796971], ""12"": [97.18878623073961, 23.67647803378946], ""13"": [26.48025807240748, 30.9744153894316], ""14"": [2.4818685027171994, 99.41273864053792]}"
False,unknown_kc,,1.4700000000000635,,0.001,1,8,15,rgn,2025-11-17T13:29:18.096018,2025-10-10_single_edge_only_v3,3317468713749495843,3756401152650013246,run_3756401152650013246,"{""n"": 15, ""radius"": 21.313795063443255, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",5.0,0.4,0.01,0.05,3,1.0,"[1.1058349846608617, 0.6129744647455353, -0.02447879165592061, 2.332136942554879, -0.08327331246628022, 1.433549800375711, -0.5862930541865905, 0.3949186363539954, 1.4534496597643203, 1.4295839645167554, -0.4649163113090321, -0.20242063040274913, -0.9877098224447163, 0.6520579377020917, 0.135695790046485]","[[0, 1, 1.0], [0, 5, 1.0], [1, 4, 1.0], [1, 7, 1.0], [2, 11, 1.0], [3, 9, 1.0], [3, 12, 1.0], [4, 14, 1.0], [5, 6, 1.0], [5, 13, 1.0], [6, 8, 1.0], [6, 10, 1.0], [6, 13, 1.0], [7, 11, 1.0], [8, 13, 1.0], [9, 10, 1.0]]","{""0"": [31.387275128151902, 59.27192374856725], ""1"": [51.0743797863624, 75.50497553659561], ""2"": [90.50578276402796, 97.11837077600661], ""3"": [82.22084626348449, 1.671580333546585], ""4"": [30.86707634190401, 91.89316038543697], ""5"": [33.32637373471965, 36.87465673591534], ""6"": [37.045050176020354, 18.22756674065278], ""7"": [70.98720660708028, 76.41984097841122], ""8"": [15.933020211321603, 20.366566145189147], ""9"": [63.789848218625714, 4.714347656762319], ""10"": [44.73088198035025, 17.386425374008496], ""11"": [93.2429150628526, 73.81778470796971], ""12"": [97.18878623073961, 23.67647803378946], ""13"": [26.48025807240748, 30.9744153894316], ""14"": [2.4818685027171994, 99.41273864053792]}"
False,unknown_kc,,1.4700000000000635,,0.001,1,9,15,rgn,2025-11-17T13:29:18.096018,2025-10-10_single_edge_only_v3,3317468713749495843,3756401152650013246,run_3756401152650013246,"{""n"": 15, ""radius"": 21.313795063443255, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",5.0,0.4,0.01,0.05,3,1.0,"[1.1058349846608617, 0.6129744647455353, -0.02447879165592061, 2.332136942554879, -0.08327331246628022, 1.433549800375711, -0.5862930541865905, 0.3949186363539954, 1.4534496597643203, 1.4295839645167554, -0.4649163113090321, -0.20242063040274913, -0.9877098224447163, 0.6520579377020917, 0.135695790046485]","[[0, 1, 1.0], [0, 5, 1.0], [1, 4, 1.0], [1, 7, 1.0], [2, 11, 1.0], [3, 9, 1.0], [3, 12, 1.0], [4, 14, 1.0], [5, 6, 1.0], [5, 13, 1.0], [6, 8, 1.0], [6, 10, 1.0], [6, 13, 1.0], [7, 11, 1.0], [8, 13, 1.0], [9, 10, 1.0]]","{""0"": [31.387275128151902, 59.27192374856725], ""1"": [51.0743797863624, 75.50497553659561], ""2"": [90.50578276402796, 97.11837077600661], ""3"": [82.22084626348449, 1.671580333546585], ""4"": [30.86707634190401, 91.89316038543697], ""5"": [33.32637373471965, 36.87465673591534], ""6"": [37.045050176020354, 18.22756674065278], ""7"": [70.98720660708028, 76.41984097841122], ""8"": [15.933020211321603, 20.366566145189147], ""9"": [63.789848218625714, 4.714347656762319], ""10"": [44.73088198035025, 17.386425374008496], ""11"": [93.2429150628526, 73.81778470796971], ""12"": [97.18878623073961, 23.67647803378946], ""13"": [26.48025807240748, 30.9744153894316], ""14"": [2.4818685027171994, 99.41273864053792]}"
False,unknown_kc,,1.4700000000000635,,0.001,1,10,15,rgn,2025-11-17T13:29:18.096018,2025-10-10_single_edge_only_v3,3317468713749495843,3756401152650013246,run_3756401152650013246,"{""n"": 15, ""radius"": 21.313795063443255, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",5.0,0.4,0.01,0.05,3,1.0,"[1.1058349846608617, 0.6129744647455353, -0.02447879165592061, 2.332136942554879, -0.08327331246628022, 1.433549800375711, -0.5862930541865905, 0.3949186363539954, 1.4534496597643203, 1.4295839645167554, -0.4649163113090321, -0.20242063040274913, -0.9877098224447163, 0.6520579377020917, 0.135695790046485]","[[0, 1, 1.0], [0, 5, 1.0], [1, 4, 1.0], [1, 7, 1.0], [2, 11, 1.0], [3, 9, 1.0], [3, 12, 1.0], [4, 14, 1.0], [5, 6, 1.0], [5, 13, 1.0], [6, 8, 1.0], [6, 10, 1.0], [6, 13, 1.0], [7, 11, 1.0], [8, 13, 1.0], [9, 10, 1.0]]","{""0"": [31.387275128151902, 59.27192374856725], ""1"": [51.0743797863624, 75.50497553659561], ""2"": [90.50578276402796, 97.11837077600661], ""3"": [82.22084626348449, 1.671580333546585], ""4"": [30.86707634190401, 91.89316038543697], ""5"": [33.32637373471965, 36.87465673591534], ""6"": [37.045050176020354, 18.22756674065278], ""7"": [70.98720660708028, 76.41984097841122], ""8"": [15.933020211321603, 20.366566145189147], ""9"": [63.789848218625714, 4.714347656762319], ""10"": [44.73088198035025, 17.386425374008496], ""11"": [93.2429150628526, 73.81778470796971], ""12"": [97.18878623073961, 23.67647803378946], ""13"": [26.48025807240748, 30.9744153894316], ""14"": [2.4818685027171994, 99.41273864053792]}"
False,unknown_kc,,2.050000000000063,,0.001,1,11,15,rgn,2025-11-17T13:29:18.096018,2025-10-10_single_edge_only_v3,3317468713749495843,3756401152650013246,run_3756401152650013246,"{""n"": 15, ""radius"": 21.313795063443255, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",5.0,0.4,0.01,0.05,3,1.0,"[1.1058349846608617, 0.6129744647455353, -0.02447879165592061, 2.332136942554879, -0.08327331246628022, 1.433549800375711, -0.5862930541865905, 0.3949186363539954, 1.4534496597643203, 1.4295839645167554, -0.4649163113090321, -0.20242063040274913, -0.9877098224447163, 0.6520579377020917, 0.135695790046485]","[[0, 1, 1.0], [0, 5, 1.0], [1, 4, 1.0], [1, 7, 1.0], [2, 11, 1.0], [3, 9, 1.0], [3, 12, 1.0], [4, 14, 1.0], [5, 6, 1.0], [5, 13, 1.0], [6, 8, 1.0], [6, 10, 1.0], [6, 13, 1.0], [7, 11, 1.0], [8, 13, 1.0], [9, 10, 1.0]]","{""0"": [31.387275128151902, 59.27192374856725], ""1"": [51.0743797863624, 75.50497553659561], ""2"": [90.50578276402796, 97.11837077600661], ""3"": [82.22084626348449, 1.671580333546585], ""4"": [30.86707634190401, 91.89316038543697], ""5"": [33.32637373471965, 36.87465673591534], ""6"": [37.045050176020354, 18.22756674065278], ""7"": [70.98720660708028, 76.41984097841122], ""8"": [15.933020211321603, 20.366566145189147], ""9"": [63.789848218625714, 4.714347656762319], ""10"": [44.73088198035025, 17.386425374008496], ""11"": [93.2429150628526, 73.81778470796971], ""12"": [97.18878623073961, 23.67647803378946], ""13"": [26.48025807240748, 30.9744153894316], ""14"": [2.4818685027171994, 99.41273864053792]}"
False,unknown_kc,,1.9200000000000639,,0.001,1,12,15,rgn,2025-11-17T13:29:18.096018,2025-10-10_single_edge_only_v3,3317468713749495843,3756401152650013246,run_3756401152650013246,"{""n"": 15, ""radius"": 21.313795063443255, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",5.0,0.4,0.01,0.05,3,1.0,"[1.1058349846608617, 0.6129744647455353, -0.02447879165592061, 2.332136942554879, -0.08327331246628022, 1.433549800375711, -0.5862930541865905, 0.3949186363539954, 1.4534496597643203, 1.4295839645167554, -0.4649163113090321, -0.20242063040274913, -0.9877098224447163, 0.6520579377020917, 0.135695790046485]","[[0, 1, 1.0], [0, 5, 1.0], [1, 4, 1.0], [1, 7, 1.0], [2, 11, 1.0], [3, 9, 1.0], [3, 12, 1.0], [4, 14, 1.0], [5, 6, 1.0], [5, 13, 1.0], [6, 8, 1.0], [6, 10, 1.0], [6, 13, 1.0], [7, 11, 1.0], [8, 13, 1.0], [9, 10, 1.0]]","{""0"": [31.387275128151902, 59.27192374856725], ""1"": [51.0743797863624, 75.50497553659561], ""2"": [90.50578276402796, 97.11837077600661], ""3"": [82.22084626348449, 1.671580333546585], ""4"": [30.86707634190401, 91.89316038543697], ""5"": [33.32637373471965, 36.87465673591534], ""6"": [37.045050176020354, 18.22756674065278], ""7"": [70.98720660708028, 76.41984097841122], ""8"": [15.933020211321603, 20.366566145189147], ""9"": [63.789848218625714, 4.714347656762319], ""10"": [44.73088198035025, 17.386425374008496], ""11"": [93.2429150628526, 73.81778470796971], ""12"": [97.18878623073961, 23.67647803378946], ""13"": [26.48025807240748, 30.9744153894316], ""14"": [2.4818685027171994, 99.41273864053792]}"
False,unknown_kc,,1.4700000000000635,,0.001,1,13,15,rgn,2025-11-17T13:29:18.096018,2025-10-10_single_edge_only_v3,3317468713749495843,3756401152650013246,run_3756401152650013246,"{""n"": 15, ""radius"": 21.313795063443255, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",5.0,0.4,0.01,0.05,3,1.0,"[1.1058349846608617, 0.6129744647455353, -0.02447879165592061, 2.332136942554879, -0.08327331246628022, 1.433549800375711, -0.5862930541865905, 0.3949186363539954, 1.4534496597643203, 1.4295839645167554, -0.4649163113090321, -0.20242063040274913, -0.9877098224447163, 0.6520579377020917, 0.135695790046485]","[[0, 1, 1.0], [0, 5, 1.0], [1, 4, 1.0], [1, 7, 1.0], [2, 11, 1.0], [3, 9, 1.0], [3, 12, 1.0], [4, 14, 1.0], [5, 6, 1.0], [5, 13, 1.0], [6, 8, 1.0], [6, 10, 1.0], [6, 13, 1.0], [7, 11, 1.0], [8, 13, 1.0], [9, 10, 1.0]]","{""0"": [31.387275128151902, 59.27192374856725], ""1"": [51.0743797863624, 75.50497553659561], ""2"": [90.50578276402796, 97.11837077600661], ""3"": [82.22084626348449, 1.671580333546585], ""4"": [30.86707634190401, 91.89316038543697], ""5"": [33.32637373471965, 36.87465673591534], ""6"": [37.045050176020354, 18.22756674065278], ""7"": [70.98720660708028, 76.41984097841122], ""8"": [15.933020211321603, 20.366566145189147], ""9"": [63.789848218625714, 4.714347656762319], ""10"": [44.73088198035025, 17.386425374008496], ""11"": [93.2429150628526, 73.81778470796971], ""12"": [97.18878623073961, 23.67647803378946], ""13"": [26.48025807240748, 30.9744153894316], ""14"": [2.4818685027171994, 99.41273864053792]}"
False,unknown_kc,,2.0600000000000627,,0.001,1,14,15,rgn,2025-11-17T13:29:18.096018,2025-10-10_single_edge_only_v3,3317468713749495843,3756401152650013246,run_3756401152650013246,"{""n"": 15, ""radius"": 21.313795063443255, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",5.0,0.4,0.01,0.05,3,1.0,"[1.1058349846608617, 0.6129744647455353, -0.02447879165592061, 2.332136942554879, -0.08327331246628022, 1.433549800375711, -0.5862930541865905, 0.3949186363539954, 1.4534496597643203, 1.4295839645167554, -0.4649163113090321, -0.20242063040274913, -0.9877098224447163, 0.6520579377020917, 0.135695790046485]","[[0, 1, 1.0], [0, 5, 1.0], [1, 4, 1.0], [1, 7, 1.0], [2, 11, 1.0], [3, 9, 1.0], [3, 12, 1.0], [4, 14, 1.0], [5, 6, 1.0], [5, 13, 1.0], [6, 8, 1.0], [6, 10, 1.0], [6, 13, 1.0], [7, 11, 1.0], [8, 13, 1.0], [9, 10, 1.0]]","{""0"": [31.387275128151902, 59.27192374856725], ""1"": [51.0743797863624, 75.50497553659561], ""2"": [90.50578276402796, 97.11837077600661], ""3"": [82.22084626348449, 1.671580333546585], ""4"": [30.86707634190401, 91.89316038543697], ""5"": [33.32637373471965, 36.87465673591534], ""6"": [37.045050176020354, 18.22756674065278], ""7"": [70.98720660708028, 76.41984097841122], ""8"": [15.933020211321603, 20.366566145189147], ""9"": [63.789848218625714, 4.714347656762319], ""10"": [44.73088198035025, 17.386425374008496], ""11"": [93.2429150628526, 73.81778470796971], ""12"": [97.18878623073961, 23.67647803378946], ""13"": [26.48025807240748, 30.9744153894316], ""14"": [2.4818685027171994, 99.41273864053792]}"
False,unknown_kc,,1.4700000000000635,,0.001,2,3,15,rgn,2025-11-17T13:29:18.096018,2025-10-10_single_edge_only_v3,3317468713749495843,3756401152650013246,run_3756401152650013246,"{""n"": 15, ""radius"": 21.313795063443255, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",5.0,0.4,0.01,0.05,3,1.0,"[1.1058349846608617, 0.6129744647455353, -0.02447879165592061, 2.332136942554879, -0.08327331246628022, 1.433549800375711, -0.5862930541865905, 0.3949186363539954, 1.4534496597643203, 1.4295839645167554, -0.4649163113090321, -0.20242063040274913, -0.9877098224447163, 0.6520579377020917, 0.135695790046485]","[[0, 1, 1.0], [0, 5, 1.0], [1, 4, 1.0], [1, 7, 1.0], [2, 11, 1.0], [3, 9, 1.0], [3, 12, 1.0], [4, 14, 1.0], [5, 6, 1.0], [5, 13, 1.0], [6, 8, 1.0], [6, 10, 1.0], [6, 13, 1.0], [7, 11, 1.0], [8, 13, 1.0], [9, 10, 1.0]]","{""0"": [31.387275128151902, 59.27192374856725], ""1"": [51.0743797863624, 75.50497553659561], ""2"": [90.50578276402796, 97.11837077600661], ""3"": [82.22084626348449, 1.671580333546585], ""4"": [30.86707634190401, 91.89316038543697], ""5"": [33.32637373471965, 36.87465673591534], ""6"": [37.045050176020354, 18.22756674065278], ""7"": [70.98720660708028, 76.41984097841122], ""8"": [15.933020211321603, 20.366566145189147], ""9"": [63.789848218625714, 4.714347656762319], ""10"": [44.73088198035025, 17.386425374008496], ""11"": [93.2429150628526, 73.81778470796971], ""12"": [97.18878623073961, 23.67647803378946], ""13"": [26.48025807240748, 30.9744153894316], ""14"": [2.4818685027171994, 99.41273864053792]}"
False,unknown_kc,,2.0600000000000627,,0.001,2,4,15,rgn,2025-11-17T13:29:18.096018,2025-10-10_single_edge_only_v3,3317468713749495843,3756401152650013246,run_3756401152650013246,"{""n"": 15, ""radius"": 21.313795063443255, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",5.0,0.4,0.01,0.05,3,1.0,"[1.1058349846608617, 0.6129744647455353, -0.02447879165592061, 2.332136942554879, -0.08327331246628022, 1.433549800375711, -0.5862930541865905, 0.3949186363539954, 1.4534496597643203, 1.4295839645167554, -0.4649163113090321, -0.20242063040274913, -0.9877098224447163, 0.6520579377020917, 0.135695790046485]","[[0, 1, 1.0], [0, 5, 1.0], [1, 4, 1.0], [1, 7, 1.0], [2, 11, 1.0], [3, 9, 1.0], [3, 12, 1.0], [4, 14, 1.0], [5, 6, 1.0], [5, 13, 1.0], [6, 8, 1.0], [6, 10, 1.0], [6, 13, 1.0], [7, 11, 1.0], [8, 13, 1.0], [9, 10, 1.0]]","{""0"": [31.387275128151902, 59.27192374856725], ""1"": [51.0743797863624, 75.50497553659561], ""2"": [90.50578276402796, 97.11837077600661], ""3"": [82.22084626348449, 1.671580333546585], ""4"": [30.86707634190401, 91.89316038543697], ""5"": [33.32637373471965, 36.87465673591534], ""6"": [37.045050176020354, 18.22756674065278], ""7"": [70.98720660708028, 76.41984097841122], ""8"": [15.933020211321603, 20.366566145189147], ""9"": [63.789848218625714, 4.714347656762319], ""10"": [44.73088198035025, 17.386425374008496], ""11"": [93.2429150628526, 73.81778470796971], ""12"": [97.18878623073961, 23.67647803378946], ""13"": [26.48025807240748, 30.9744153894316], ""14"": [2.4818685027171994, 99.41273864053792]}"
False,unknown_kc,,1.4700000000000635,,0.001,2,5,15,rgn,2025-11-17T13:29:18.096018,2025-10-10_single_edge_only_v3,3317468713749495843,3756401152650013246,run_3756401152650013246,"{""n"": 15, ""radius"": 21.313795063443255, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",5.0,0.4,0.01,0.05,3,1.0,"[1.1058349846608617, 0.6129744647455353, -0.02447879165592061, 2.332136942554879, -0.08327331246628022, 1.433549800375711, -0.5862930541865905, 0.3949186363539954, 1.4534496597643203, 1.4295839645167554, -0.4649163113090321, -0.20242063040274913, -0.9877098224447163, 0.6520579377020917, 0.135695790046485]","[[0, 1, 1.0], [0, 5, 1.0], [1, 4, 1.0], [1, 7, 1.0], [2, 11, 1.0], [3, 9, 1.0], [3, 12, 1.0], [4, 14, 1.0], [5, 6, 1.0], [5, 13, 1.0], [6, 8, 1.0], [6, 10, 1.0], [6, 13, 1.0], [7, 11, 1.0], [8, 13, 1.0], [9, 10, 1.0]]","{""0"": [31.387275128151902, 59.27192374856725], ""1"": [51.0743797863624, 75.50497553659561], ""2"": [90.50578276402796, 97.11837077600661], ""3"": [82.22084626348449, 1.671580333546585], ""4"": [30.86707634190401, 91.89316038543697], ""5"": [33.32637373471965, 36.87465673591534], ""6"": [37.045050176020354, 18.22756674065278], ""7"": [70.98720660708028, 76.41984097841122], ""8"": [15.933020211321603, 20.366566145189147], ""9"": [63.789848218625714, 4.714347656762319], ""10"": [44.73088198035025, 17.386425374008496], ""11"": [93.2429150628526, 73.81778470796971], ""12"": [97.18878623073961, 23.67647803378946], ""13"": [26.48025807240748, 30.9744153894316], ""14"": [2.4818685027171994, 99.41273864053792]}"
