edge_u,edge_v,baseline_Kc,new_Kc,delta,is_braess,timestamp,code_version,seed_root,seed_child,run_id,graph_type,graph_params_json,n,K_start,K_min,K_step,onset_eps,onset_minrun,add_weight,omega_json,edges_json,pos_json
0,1,2.090000000000062,2.1100000000000616,0.019999999999999574,True,2025-10-10T14:09:51.654534,2025-10-10_single_edge_only_v2,5567376058526621140,7122710385371678089,run_7122710385371678089,rgn,"{""n"": 19, ""radius"": 18.433891637654025, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",19,5.0,0.4,0.01,0.05,3,1.0,"[-1.172851675289044, -0.8634949696433172, 0.9737687668767684, 0.43623006821173016, -0.9586298631356471, -0.7090681421718247, -0.9204997156451404, 1.585575260029314, 0.12317480868859997, 0.7820388831446683, 0.7374738106885488, -0.5122530283306767, 0.22507490106884503, -1.2769291171084218, 0.6225894619996718, -1.1974144212517297, 1.9241541163618956, -2.2087893228943645, 0.09769360070767347]","[[0, 3, 1.0], [0, 16, 1.0], [1, 10, 1.0], [1, 13, 1.0], [2, 4, 1.0], [2, 5, 1.0], [3, 7, 1.0], [3, 8, 1.0], [3, 12, 1.0], [3, 16, 1.0], [3, 18, 1.0], [4, 9, 1.0], [5, 14, 1.0], [6, 7, 1.0], [6, 8, 1.0], [6, 11, 1.0], [6, 13, 1.0], [7, 8, 1.0], [8, 12, 1.0], [8, 16, 1.0], [11, 13, 1.0], [11, 15, 1.0], [12, 16, 1.0], [12, 18, 1.0], [14, 15, 1.0], [15, 17, 1.0], [16, 18, 1.0]]","{""0"": [70.23740118029875, 4.059442121027235], ""1"": [20.182559018443946, 23.12882131405497], ""2"": [14.192917306392038, 87.03081892728464], ""3"": [75.39298630053027, 20.438234850872583], ""4"": [2.127064443298188, 60.66584212900692], ""5"": [45.0641363177144, 84.769261082342], ""6"": [56.83762624558022, 33.90659399682888], ""7"": [58.211320139846556, 21.288560423242597], ""8"": [64.12296766825399, 22.525663815348395], ""9"": [1.880396308951604, 59.21583720348157], ""10"": [22.07457860811999, 1.973449792535742], ""11"": [59.76381355401639, 45.926286602126545], ""12"": [79.09055546013674, 22.985564889214515], ""13"": [46.14210657638935, 35.54922706009243], ""14"": [47.97328476748485, 81.05445453639373], ""15"": [61.631112073257036, 61.588480532281665], ""16"": [77.7000688538319, 19.620335651291022], ""17"": [88.2381362688603, 72.64979962143477], ""18"": [89.61477100305461, 20.053580503186218]}"
0,2,2.090000000000062,2.3100000000000573,0.2199999999999953,True,2025-10-10T14:09:51.654534,2025-10-10_single_edge_only_v2,5567376058526621140,7122710385371678089,run_7122710385371678089,rgn,"{""n"": 19, ""radius"": 18.433891637654025, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",19,5.0,0.4,0.01,0.05,3,1.0,"[-1.172851675289044, -0.8634949696433172, 0.9737687668767684, 0.43623006821173016, -0.9586298631356471, -0.7090681421718247, -0.9204997156451404, 1.585575260029314, 0.12317480868859997, 0.7820388831446683, 0.7374738106885488, -0.5122530283306767, 0.22507490106884503, -1.2769291171084218, 0.6225894619996718, -1.1974144212517297, 1.9241541163618956, -2.2087893228943645, 0.09769360070767347]","[[0, 3, 1.0], [0, 16, 1.0], [1, 10, 1.0], [1, 13, 1.0], [2, 4, 1.0], [2, 5, 1.0], [3, 7, 1.0], [3, 8, 1.0], [3, 12, 1.0], [3, 16, 1.0], [3, 18, 1.0], [4, 9, 1.0], [5, 14, 1.0], [6, 7, 1.0], [6, 8, 1.0], [6, 11, 1.0], [6, 13, 1.0], [7, 8, 1.0], [8, 12, 1.0], [8, 16, 1.0], [11, 13, 1.0], [11, 15, 1.0], [12, 16, 1.0], [12, 18, 1.0], [14, 15, 1.0], [15, 17, 1.0], [16, 18, 1.0]]","{""0"": [70.23740118029875, 4.059442121027235], ""1"": [20.182559018443946, 23.12882131405497], ""2"": [14.192917306392038, 87.03081892728464], ""3"": [75.39298630053027, 20.438234850872583], ""4"": [2.127064443298188, 60.66584212900692], ""5"": [45.0641363177144, 84.769261082342], ""6"": [56.83762624558022, 33.90659399682888], ""7"": [58.211320139846556, 21.288560423242597], ""8"": [64.12296766825399, 22.525663815348395], ""9"": [1.880396308951604, 59.21583720348157], ""10"": [22.07457860811999, 1.973449792535742], ""11"": [59.76381355401639, 45.926286602126545], ""12"": [79.09055546013674, 22.985564889214515], ""13"": [46.14210657638935, 35.54922706009243], ""14"": [47.97328476748485, 81.05445453639373], ""15"": [61.631112073257036, 61.588480532281665], ""16"": [77.7000688538319, 19.620335651291022], ""17"": [88.2381362688603, 72.64979962143477], ""18"": [89.61477100305461, 20.053580503186218]}"
0,5,2.090000000000062,2.1100000000000616,0.019999999999999574,True,2025-10-10T14:09:51.654534,2025-10-10_single_edge_only_v2,5567376058526621140,7122710385371678089,run_7122710385371678089,rgn,"{""n"": 19, ""radius"": 18.433891637654025, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",19,5.0,0.4,0.01,0.05,3,1.0,"[-1.172851675289044, -0.8634949696433172, 0.9737687668767684, 0.43623006821173016, -0.9586298631356471, -0.7090681421718247, -0.9204997156451404, 1.585575260029314, 0.12317480868859997, 0.7820388831446683, 0.7374738106885488, -0.5122530283306767, 0.22507490106884503, -1.2769291171084218, 0.6225894619996718, -1.1974144212517297, 1.9241541163618956, -2.2087893228943645, 0.09769360070767347]","[[0, 3, 1.0], [0, 16, 1.0], [1, 10, 1.0], [1, 13, 1.0], [2, 4, 1.0], [2, 5, 1.0], [3, 7, 1.0], [3, 8, 1.0], [3, 12, 1.0], [3, 16, 1.0], [3, 18, 1.0], [4, 9, 1.0], [5, 14, 1.0], [6, 7, 1.0], [6, 8, 1.0], [6, 11, 1.0], [6, 13, 1.0], [7, 8, 1.0], [8, 12, 1.0], [8, 16, 1.0], [11, 13, 1.0], [11, 15, 1.0], [12, 16, 1.0], [12, 18, 1.0], [14, 15, 1.0], [15, 17, 1.0], [16, 18, 1.0]]","{""0"": [70.23740118029875, 4.059442121027235], ""1"": [20.182559018443946, 23.12882131405497], ""2"": [14.192917306392038, 87.03081892728464], ""3"": [75.39298630053027, 20.438234850872583], ""4"": [2.127064443298188, 60.66584212900692], ""5"": [45.0641363177144, 84.769261082342], ""6"": [56.83762624558022, 33.90659399682888], ""7"": [58.211320139846556, 21.288560423242597], ""8"": [64.12296766825399, 22.525663815348395], ""9"": [1.880396308951604, 59.21583720348157], ""10"": [22.07457860811999, 1.973449792535742], ""11"": [59.76381355401639, 45.926286602126545], ""12"": [79.09055546013674, 22.985564889214515], ""13"": [46.14210657638935, 35.54922706009243], ""14"": [47.97328476748485, 81.05445453639373], ""15"": [61.631112073257036, 61.588480532281665], ""16"": [77.7000688538319, 19.620335651291022], ""17"": [88.2381362688603, 72.64979962143477], ""18"": [89.61477100305461, 20.053580503186218]}"
0,9,2.090000000000062,4.870000000000003,2.7799999999999407,True,2025-10-10T14:09:51.654534,2025-10-10_single_edge_only_v2,5567376058526621140,7122710385371678089,run_7122710385371678089,rgn,"{""n"": 19, ""radius"": 18.433891637654025, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",19,5.0,0.4,0.01,0.05,3,1.0,"[-1.172851675289044, -0.8634949696433172, 0.9737687668767684, 0.43623006821173016, -0.9586298631356471, -0.7090681421718247, -0.9204997156451404, 1.585575260029314, 0.12317480868859997, 0.7820388831446683, 0.7374738106885488, -0.5122530283306767, 0.22507490106884503, -1.2769291171084218, 0.6225894619996718, -1.1974144212517297, 1.9241541163618956, -2.2087893228943645, 0.09769360070767347]","[[0, 3, 1.0], [0, 16, 1.0], [1, 10, 1.0], [1, 13, 1.0], [2, 4, 1.0], [2, 5, 1.0], [3, 7, 1.0], [3, 8, 1.0], [3, 12, 1.0], [3, 16, 1.0], [3, 18, 1.0], [4, 9, 1.0], [5, 14, 1.0], [6, 7, 1.0], [6, 8, 1.0], [6, 11, 1.0], [6, 13, 1.0], [7, 8, 1.0], [8, 12, 1.0], [8, 16, 1.0], [11, 13, 1.0], [11, 15, 1.0], [12, 16, 1.0], [12, 18, 1.0], [14, 15, 1.0], [15, 17, 1.0], [16, 18, 1.0]]","{""0"": [70.23740118029875, 4.059442121027235], ""1"": [20.182559018443946, 23.12882131405497], ""2"": [14.192917306392038, 87.03081892728464], ""3"": [75.39298630053027, 20.438234850872583], ""4"": [2.127064443298188, 60.66584212900692], ""5"": [45.0641363177144, 84.769261082342], ""6"": [56.83762624558022, 33.90659399682888], ""7"": [58.211320139846556, 21.288560423242597], ""8"": [64.12296766825399, 22.525663815348395], ""9"": [1.880396308951604, 59.21583720348157], ""10"": [22.07457860811999, 1.973449792535742], ""11"": [59.76381355401639, 45.926286602126545], ""12"": [79.09055546013674, 22.985564889214515], ""13"": [46.14210657638935, 35.54922706009243], ""14"": [47.97328476748485, 81.05445453639373], ""15"": [61.631112073257036, 61.588480532281665], ""16"": [77.7000688538319, 19.620335651291022], ""17"": [88.2381362688603, 72.64979962143477], ""18"": [89.61477100305461, 20.053580503186218]}"
3,14,2.090000000000062,2.130000000000061,0.03999999999999915,True,2025-10-10T14:09:51.654534,2025-10-10_single_edge_only_v2,5567376058526621140,7122710385371678089,run_7122710385371678089,rgn,"{""n"": 19, ""radius"": 18.433891637654025, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",19,5.0,0.4,0.01,0.05,3,1.0,"[-1.172851675289044, -0.8634949696433172, 0.9737687668767684, 0.43623006821173016, -0.9586298631356471, -0.7090681421718247, -0.9204997156451404, 1.585575260029314, 0.12317480868859997, 0.7820388831446683, 0.7374738106885488, -0.5122530283306767, 0.22507490106884503, -1.2769291171084218, 0.6225894619996718, -1.1974144212517297, 1.9241541163618956, -2.2087893228943645, 0.09769360070767347]","[[0, 3, 1.0], [0, 16, 1.0], [1, 10, 1.0], [1, 13, 1.0], [2, 4, 1.0], [2, 5, 1.0], [3, 7, 1.0], [3, 8, 1.0], [3, 12, 1.0], [3, 16, 1.0], [3, 18, 1.0], [4, 9, 1.0], [5, 14, 1.0], [6, 7, 1.0], [6, 8, 1.0], [6, 11, 1.0], [6, 13, 1.0], [7, 8, 1.0], [8, 12, 1.0], [8, 16, 1.0], [11, 13, 1.0], [11, 15, 1.0], [12, 16, 1.0], [12, 18, 1.0], [14, 15, 1.0], [15, 17, 1.0], [16, 18, 1.0]]","{""0"": [70.23740118029875, 4.059442121027235], ""1"": [20.182559018443946, 23.12882131405497], ""2"": [14.192917306392038, 87.03081892728464], ""3"": [75.39298630053027, 20.438234850872583], ""4"": [2.127064443298188, 60.66584212900692], ""5"": [45.0641363177144, 84.769261082342], ""6"": [56.83762624558022, 33.90659399682888], ""7"": [58.211320139846556, 21.288560423242597], ""8"": [64.12296766825399, 22.525663815348395], ""9"": [1.880396308951604, 59.21583720348157], ""10"": [22.07457860811999, 1.973449792535742], ""11"": [59.76381355401639, 45.926286602126545], ""12"": [79.09055546013674, 22.985564889214515], ""13"": [46.14210657638935, 35.54922706009243], ""14"": [47.97328476748485, 81.05445453639373], ""15"": [61.631112073257036, 61.588480532281665], ""16"": [77.7000688538319, 19.620335651291022], ""17"": [88.2381362688603, 72.64979962143477], ""18"": [89.61477100305461, 20.053580503186218]}"
7,14,2.090000000000062,2.100000000000062,0.009999999999999787,True,2025-10-10T14:09:51.654534,2025-10-10_single_edge_only_v2,5567376058526621140,7122710385371678089,run_7122710385371678089,rgn,"{""n"": 19, ""radius"": 18.433891637654025, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",19,5.0,0.4,0.01,0.05,3,1.0,"[-1.172851675289044, -0.8634949696433172, 0.9737687668767684, 0.43623006821173016, -0.9586298631356471, -0.7090681421718247, -0.9204997156451404, 1.585575260029314, 0.12317480868859997, 0.7820388831446683, 0.7374738106885488, -0.5122530283306767, 0.22507490106884503, -1.2769291171084218, 0.6225894619996718, -1.1974144212517297, 1.9241541163618956, -2.2087893228943645, 0.09769360070767347]","[[0, 3, 1.0], [0, 16, 1.0], [1, 10, 1.0], [1, 13, 1.0], [2, 4, 1.0], [2, 5, 1.0], [3, 7, 1.0], [3, 8, 1.0], [3, 12, 1.0], [3, 16, 1.0], [3, 18, 1.0], [4, 9, 1.0], [5, 14, 1.0], [6, 7, 1.0], [6, 8, 1.0], [6, 11, 1.0], [6, 13, 1.0], [7, 8, 1.0], [8, 12, 1.0], [8, 16, 1.0], [11, 13, 1.0], [11, 15, 1.0], [12, 16, 1.0], [12, 18, 1.0], [14, 15, 1.0], [15, 17, 1.0], [16, 18, 1.0]]","{""0"": [70.23740118029875, 4.059442121027235], ""1"": [20.182559018443946, 23.12882131405497], ""2"": [14.192917306392038, 87.03081892728464], ""3"": [75.39298630053027, 20.438234850872583], ""4"": [2.127064443298188, 60.66584212900692], ""5"": [45.0641363177144, 84.769261082342], ""6"": [56.83762624558022, 33.90659399682888], ""7"": [58.211320139846556, 21.288560423242597], ""8"": [64.12296766825399, 22.525663815348395], ""9"": [1.880396308951604, 59.21583720348157], ""10"": [22.07457860811999, 1.973449792535742], ""11"": [59.76381355401639, 45.926286602126545], ""12"": [79.09055546013674, 22.985564889214515], ""13"": [46.14210657638935, 35.54922706009243], ""14"": [47.97328476748485, 81.05445453639373], ""15"": [61.631112073257036, 61.588480532281665], ""16"": [77.7000688538319, 19.620335651291022], ""17"": [88.2381362688603, 72.64979962143477], ""18"": [89.61477100305461, 20.053580503186218]}"
12,14,2.090000000000062,2.140000000000061,0.049999999999998934,True,2025-10-10T14:09:51.654534,2025-10-10_single_edge_only_v2,5567376058526621140,7122710385371678089,run_7122710385371678089,rgn,"{""n"": 19, ""radius"": 18.433891637654025, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",19,5.0,0.4,0.01,0.05,3,1.0,"[-1.172851675289044, -0.8634949696433172, 0.9737687668767684, 0.43623006821173016, -0.9586298631356471, -0.7090681421718247, -0.9204997156451404, 1.585575260029314, 0.12317480868859997, 0.7820388831446683, 0.7374738106885488, -0.5122530283306767, 0.22507490106884503, -1.2769291171084218, 0.6225894619996718, -1.1974144212517297, 1.9241541163618956, -2.2087893228943645, 0.09769360070767347]","[[0, 3, 1.0], [0, 16, 1.0], [1, 10, 1.0], [1, 13, 1.0], [2, 4, 1.0], [2, 5, 1.0], [3, 7, 1.0], [3, 8, 1.0], [3, 12, 1.0], [3, 16, 1.0], [3, 18, 1.0], [4, 9, 1.0], [5, 14, 1.0], [6, 7, 1.0], [6, 8, 1.0], [6, 11, 1.0], [6, 13, 1.0], [7, 8, 1.0], [8, 12, 1.0], [8, 16, 1.0], [11, 13, 1.0], [11, 15, 1.0], [12, 16, 1.0], [12, 18, 1.0], [14, 15, 1.0], [15, 17, 1.0], [16, 18, 1.0]]","{""0"": [70.23740118029875, 4.059442121027235], ""1"": [20.182559018443946, 23.12882131405497], ""2"": [14.192917306392038, 87.03081892728464], ""3"": [75.39298630053027, 20.438234850872583], ""4"": [2.127064443298188, 60.66584212900692], ""5"": [45.0641363177144, 84.769261082342], ""6"": [56.83762624558022, 33.90659399682888], ""7"": [58.211320139846556, 21.288560423242597], ""8"": [64.12296766825399, 22.525663815348395], ""9"": [1.880396308951604, 59.21583720348157], ""10"": [22.07457860811999, 1.973449792535742], ""11"": [59.76381355401639, 45.926286602126545], ""12"": [79.09055546013674, 22.985564889214515], ""13"": [46.14210657638935, 35.54922706009243], ""14"": [47.97328476748485, 81.05445453639373], ""15"": [61.631112073257036, 61.588480532281665], ""16"": [77.7000688538319, 19.620335651291022], ""17"": [88.2381362688603, 72.64979962143477], ""18"": [89.61477100305461, 20.053580503186218]}"
14,16,2.090000000000062,2.18000000000006,0.08999999999999808,True,2025-10-10T14:09:51.654534,2025-10-10_single_edge_only_v2,5567376058526621140,7122710385371678089,run_7122710385371678089,rgn,"{""n"": 19, ""radius"": 18.433891637654025, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",19,5.0,0.4,0.01,0.05,3,1.0,"[-1.172851675289044, -0.8634949696433172, 0.9737687668767684, 0.43623006821173016, -0.9586298631356471, -0.7090681421718247, -0.9204997156451404, 1.585575260029314, 0.12317480868859997, 0.7820388831446683, 0.7374738106885488, -0.5122530283306767, 0.22507490106884503, -1.2769291171084218, 0.6225894619996718, -1.1974144212517297, 1.9241541163618956, -2.2087893228943645, 0.09769360070767347]","[[0, 3, 1.0], [0, 16, 1.0], [1, 10, 1.0], [1, 13, 1.0], [2, 4, 1.0], [2, 5, 1.0], [3, 7, 1.0], [3, 8, 1.0], [3, 12, 1.0], [3, 16, 1.0], [3, 18, 1.0], [4, 9, 1.0], [5, 14, 1.0], [6, 7, 1.0], [6, 8, 1.0], [6, 11, 1.0], [6, 13, 1.0], [7, 8, 1.0], [8, 12, 1.0], [8, 16, 1.0], [11, 13, 1.0], [11, 15, 1.0], [12, 16, 1.0], [12, 18, 1.0], [14, 15, 1.0], [15, 17, 1.0], [16, 18, 1.0]]","{""0"": [70.23740118029875, 4.059442121027235], ""1"": [20.182559018443946, 23.12882131405497], ""2"": [14.192917306392038, 87.03081892728464], ""3"": [75.39298630053027, 20.438234850872583], ""4"": [2.127064443298188, 60.66584212900692], ""5"": [45.0641363177144, 84.769261082342], ""6"": [56.83762624558022, 33.90659399682888], ""7"": [58.211320139846556, 21.288560423242597], ""8"": [64.12296766825399, 22.525663815348395], ""9"": [1.880396308951604, 59.21583720348157], ""10"": [22.07457860811999, 1.973449792535742], ""11"": [59.76381355401639, 45.926286602126545], ""12"": [79.09055546013674, 22.985564889214515], ""13"": [46.14210657638935, 35.54922706009243], ""14"": [47.97328476748485, 81.05445453639373], ""15"": [61.631112073257036, 61.588480532281665], ""16"": [77.7000688538319, 19.620335651291022], ""17"": [88.2381362688603, 72.64979962143477], ""18"": [89.61477100305461, 20.053580503186218]}"
0,9,1.1800000000000632,1.9000000000000639,0.7200000000000006,True,2025-10-10T14:10:10.622658,2025-10-10_single_edge_only_v2,5567376058526621140,5539026406252202821,run_5539026406252202821,rgn,"{""n"": 17, ""radius"": 26.08071971796481, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",17,5.0,0.4,0.01,0.05,3,1.0,"[-1.5373047115868417, -1.0557691495512038, 0.7724473620307089, 0.08298597862582906, 2.538252923522904, -0.04565455837491498, -1.3423223422455746, -1.553071876269095, -0.6073241930718672, -1.0455436808626806, 0.14987673231738682, 0.6901094863522647, 0.3686240969586978, -0.5046753812947163, -2.1117304234847585, 0.6620976972725668, -2.175169498313415]","[[0, 2, 1.0], [0, 3, 1.0], [0, 8, 1.0], [1, 2, 1.0], [1, 5, 1.0], [1, 7, 1.0], [1, 12, 1.0], [2, 5, 1.0], [2, 7, 1.0], [2, 8, 1.0], [3, 4, 1.0], [3, 6, 1.0], [4, 6, 1.0], [4, 10, 1.0], [4, 16, 1.0], [5, 7, 1.0], [6, 10, 1.0], [6, 16, 1.0], [7, 8, 1.0], [7, 10, 1.0], [7, 16, 1.0], [9, 11, 1.0], [9, 13, 1.0], [9, 14, 1.0], [9, 15, 1.0], [10, 16, 1.0], [11, 14, 1.0], [11, 15, 1.0], [11, 16, 1.0], [13, 15, 1.0]]","{""0"": [89.45632078214551, 37.43834373055449], ""1"": [49.28974463874817, 31.327807484243785], ""2"": [66.38588297603705, 33.169555540780934], ""3"": [98.60405923472617, 60.62750961639417], ""4"": [89.38974276652604, 68.84292377204217], ""5"": [51.689208281900456, 37.35687432605792], ""6"": [84.02283429600126, 76.76468086035125], ""7"": [64.1418788325538, 50.274363834057034], ""8"": [77.77588220397543, 34.45530484098567], ""9"": [28.645045108078538, 73.0301439094885], ""10"": [66.23357338385132, 61.4076257795851], ""11"": [40.65932220720987, 75.15056831137437], ""12"": [19.084885103776962, 0.5886607728781579], ""13"": [5.938638484099723, 81.23661064121566], ""14"": [36.64601084156074, 89.62652288137653], ""15"": [21.318595607518176, 62.2643867767212], ""16"": [66.72211782849531, 74.0636677513224]}"
0,10,1.1800000000000632,1.2500000000000633,0.07000000000000006,True,2025-10-10T14:10:10.622658,2025-10-10_single_edge_only_v2,5567376058526621140,5539026406252202821,run_5539026406252202821,rgn,"{""n"": 17, ""radius"": 26.08071971796481, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",17,5.0,0.4,0.01,0.05,3,1.0,"[-1.5373047115868417, -1.0557691495512038, 0.7724473620307089, 0.08298597862582906, 2.538252923522904, -0.04565455837491498, -1.3423223422455746, -1.553071876269095, -0.6073241930718672, -1.0455436808626806, 0.14987673231738682, 0.6901094863522647, 0.3686240969586978, -0.5046753812947163, -2.1117304234847585, 0.6620976972725668, -2.175169498313415]","[[0, 2, 1.0], [0, 3, 1.0], [0, 8, 1.0], [1, 2, 1.0], [1, 5, 1.0], [1, 7, 1.0], [1, 12, 1.0], [2, 5, 1.0], [2, 7, 1.0], [2, 8, 1.0], [3, 4, 1.0], [3, 6, 1.0], [4, 6, 1.0], [4, 10, 1.0], [4, 16, 1.0], [5, 7, 1.0], [6, 10, 1.0], [6, 16, 1.0], [7, 8, 1.0], [7, 10, 1.0], [7, 16, 1.0], [9, 11, 1.0], [9, 13, 1.0], [9, 14, 1.0], [9, 15, 1.0], [10, 16, 1.0], [11, 14, 1.0], [11, 15, 1.0], [11, 16, 1.0], [13, 15, 1.0]]","{""0"": [89.45632078214551, 37.43834373055449], ""1"": [49.28974463874817, 31.327807484243785], ""2"": [66.38588297603705, 33.169555540780934], ""3"": [98.60405923472617, 60.62750961639417], ""4"": [89.38974276652604, 68.84292377204217], ""5"": [51.689208281900456, 37.35687432605792], ""6"": [84.02283429600126, 76.76468086035125], ""7"": [64.1418788325538, 50.274363834057034], ""8"": [77.77588220397543, 34.45530484098567], ""9"": [28.645045108078538, 73.0301439094885], ""10"": [66.23357338385132, 61.4076257795851], ""11"": [40.65932220720987, 75.15056831137437], ""12"": [19.084885103776962, 0.5886607728781579], ""13"": [5.938638484099723, 81.23661064121566], ""14"": [36.64601084156074, 89.62652288137653], ""15"": [21.318595607518176, 62.2643867767212], ""16"": [66.72211782849531, 74.0636677513224]}"
0,11,1.1800000000000632,1.4400000000000635,0.26000000000000023,True,2025-10-10T14:10:10.622658,2025-10-10_single_edge_only_v2,5567376058526621140,5539026406252202821,run_5539026406252202821,rgn,"{""n"": 17, ""radius"": 26.08071971796481, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",17,5.0,0.4,0.01,0.05,3,1.0,"[-1.5373047115868417, -1.0557691495512038, 0.7724473620307089, 0.08298597862582906, 2.538252923522904, -0.04565455837491498, -1.3423223422455746, -1.553071876269095, -0.6073241930718672, -1.0455436808626806, 0.14987673231738682, 0.6901094863522647, 0.3686240969586978, -0.5046753812947163, -2.1117304234847585, 0.6620976972725668, -2.175169498313415]","[[0, 2, 1.0], [0, 3, 1.0], [0, 8, 1.0], [1, 2, 1.0], [1, 5, 1.0], [1, 7, 1.0], [1, 12, 1.0], [2, 5, 1.0], [2, 7, 1.0], [2, 8, 1.0], [3, 4, 1.0], [3, 6, 1.0], [4, 6, 1.0], [4, 10, 1.0], [4, 16, 1.0], [5, 7, 1.0], [6, 10, 1.0], [6, 16, 1.0], [7, 8, 1.0], [7, 10, 1.0], [7, 16, 1.0], [9, 11, 1.0], [9, 13, 1.0], [9, 14, 1.0], [9, 15, 1.0], [10, 16, 1.0], [11, 14, 1.0], [11, 15, 1.0], [11, 16, 1.0], [13, 15, 1.0]]","{""0"": [89.45632078214551, 37.43834373055449], ""1"": [49.28974463874817, 31.327807484243785], ""2"": [66.38588297603705, 33.169555540780934], ""3"": [98.60405923472617, 60.62750961639417], ""4"": [89.38974276652604, 68.84292377204217], ""5"": [51.689208281900456, 37.35687432605792], ""6"": [84.02283429600126, 76.76468086035125], ""7"": [64.1418788325538, 50.274363834057034], ""8"": [77.77588220397543, 34.45530484098567], ""9"": [28.645045108078538, 73.0301439094885], ""10"": [66.23357338385132, 61.4076257795851], ""11"": [40.65932220720987, 75.15056831137437], ""12"": [19.084885103776962, 0.5886607728781579], ""13"": [5.938638484099723, 81.23661064121566], ""14"": [36.64601084156074, 89.62652288137653], ""15"": [21.318595607518176, 62.2643867767212], ""16"": [66.72211782849531, 74.0636677513224]}"
0,12,1.1800000000000632,4.020000000000021,2.8399999999999577,True,2025-10-10T14:10:10.622658,2025-10-10_single_edge_only_v2,5567376058526621140,5539026406252202821,run_5539026406252202821,rgn,"{""n"": 17, ""radius"": 26.08071971796481, ""box_size"": 100.0, ""weight_low"": 1.0, ""weight_high"": 1.0}",17,5.0,0.4,0.01,0.05,3,1.0,"[-1.5373047115868417, -1.0557691495512038, 0.7724473620307089, 0.08298597862582906, 2.538252923522904, -0.04565455837491498, -1.3423223422455746, -1.553071876269095, -0.6073241930718672, -1.0455436808626806, 0.14987673231738682, 0.6901094863522647, 0.3686240969586978, -0.5046753812947163, -2.1117304234847585, 0.6620976972725668, -2.175169498313415]","[[0, 2, 1.0], [0, 3, 1.0], [0, 8, 1.0], [1, 2, 1.0], [1, 5, 1.0], [1, 7, 1.0], [1, 12, 1.0], [2, 5, 1.0], [2, 7, 1.0], [2, 8, 1.0], [3, 4, 1.0], [3, 6, 1.0], [4, 6, 1.0], [4, 10, 1.0], [4, 16, 1.0], [5, 7, 1.0], [6, 10, 1.0], [6, 16, 1.0], [7, 8, 1.0], [7, 10, 1.0], [7, 16, 1.0], [9, 11, 1.0], [9, 13, 1.0], [9, 14, 1.0], [9, 15, 1.0], [10, 16, 1.0], [11, 14, 1.0], [11, 15, 1.0], [11, 16, 1.0], [13, 15, 1.0]]","{""0"": [89.45632078214551, 37.43834373055449], ""1"": [49.28974463874817, 31.327807484243785], ""2"": [66.38588297603705, 33.169555540780934], ""3"": [98.60405923472617, 60.62750961639417], ""4"": [89.38974276652604, 68.84292377204217], ""5"": [51.689208281900456, 37.35687432605792], ""6"": [84.02283429600126, 76.76468086035125], ""7"": [64.1418788325538, 50.274363834057034], ""8"": [77.77588220397543, 34.45530484098567], ""9"": [28.645045108078538, 73.0301439094885], ""10"": [66.23357338385132, 61.4076257795851], ""11"": [40.65932220720987, 75.15056831137437], ""12"": [19.084885103776962, 0.5886607728781579], ""13"": [5.938638484099723, 81.23661064121566], ""14"": [36.64601084156074, 89.62652288137653], ""15"": [21.318595607518176, 62.2643867767212], ""16"": [66.72211782849531, 74.0636677513224]}"
